n,seconds
1,0.0000982920
2,0.0001369590
3,0.0001883750
4,0.0002396660
5,0.0002905830
6,0.0003396250
7,0.0003865840
8,0.0004374580
9,0.0004862080
10,0.0005358330
11,0.0005850000
12,0.0006344160
13,0.0006855420
14,0.0007353750
15,0.0007881670
16,0.0008541670
17,0.0009017500
18,0.0009355830
19,0.0009982080
20,0.0010384160
21,0.0010942910
22,0.0011809170
23,0.0011865830
24,0.0012365830
25,0.0012879160
26,0.0013361250
27,0.0014195410
28,0.0014427090
29,0.0014955840
30,0.0015420420
31,0.0015922500
32,0.0016460840
33,0.0017056670
34,0.0017557920
35,0.0018151250
36,0.0018430000
37,0.0018963750
38,0.0019580830
39,0.0020078750
40,0.0021725000
41,0.0021999580
42,0.0024905420
43,0.0024354580
44,0.0025087500
45,0.0025482920
46,0.0026057920
47,0.0026639580
48,0.0027602910
49,0.0028752500
50,0.0030162090
51,0.0029096250
52,0.0030175410
53,0.0029905420
54,0.0029329580
55,0.0029810420
56,0.0030289170
57,0.0030895000
58,0.0032027910
59,0.0034172080
60,0.0034733750
61,0.0034626250
62,0.0034917500
63,0.0035346250
64,0.0034948340
65,0.0034949170
66,0.0036788340
67,0.0037558750
68,0.0037475830
69,0.0037196250
70,0.0038488340
71,0.0039058750
72,0.0039815830
73,0.0039780000
74,0.0041348330
75,0.0040488750
76,0.0041299170
77,0.0041386670
78,0.0041967500
79,0.0042524170
80,0.0043080840
81,0.0044302500
82,0.0044188750
83,0.0045549160
84,0.0046440830
85,0.0046641250
86,0.0047787500
87,0.0047502500
88,0.0049729170
89,0.0048412920
90,0.0050821660
91,0.0050631250
92,0.0050970830
93,0.0051389580
94,0.0048812500
95,0.0048472090
96,0.0048972500
97,0.0051475000
98,0.0049867080
99,0.0050281660
100,0.0051280410
101,0.0052443750
102,0.0051952920
103,0.0052635410
104,0.0053130420
105,0.0053346250
106,0.0054396660
107,0.0057713330
108,0.0058113340
109,0.0058749580
110,0.0059923750
111,0.0060405420
112,0.0064071250
113,0.0063138330
114,0.0063775000
115,0.0065082920
116,0.0064368330
117,0.0063442500
118,0.0064316670
119,0.0064114580
120,0.0064478750
121,0.0065032500
122,0.0065537080
123,0.0066781250
124,0.0066252910
125,0.0067420420
126,0.0068543750
127,0.0069377500
128,0.0069549580
129,0.0069063340
130,0.0069971250
131,0.0070354160
132,0.0077025420
133,0.0083362910
134,0.0078463750
135,0.0075813330
136,0.0075855840
137,0.0081120000
138,0.0077474170
139,0.0078697920
140,0.0077863750
141,0.0076963750
142,0.0073265830
143,0.0077400000
144,0.0074924590
145,0.0077972920
146,0.0074487090
147,0.0077221670
148,0.0078125410
149,0.0077126250
150,0.0079703750
151,0.0077527080
152,0.0080106670
153,0.0078310420
154,0.0080194580
155,0.0078578340
156,0.0081976250
157,0.0080161660
158,0.0084026250
159,0.0080437080
160,0.0081705830
161,0.0082103750
162,0.0082986660
163,0.0084619160
164,0.0083104590
165,0.0086152920
166,0.0086522920
167,0.0085431250
168,0.0087485000
169,0.0086255000
170,0.0086278750
171,0.0088735000
172,0.0087127910
173,0.0089416670
174,0.0088133340
175,0.0088453750
176,0.0089872500
177,0.0089594590
178,0.0090476250
179,0.0090767500
180,0.0091194170
181,0.0091688340
182,0.0092489160
183,0.0095074580
184,0.0093117500
185,0.0093340420
186,0.0093954170
187,0.0094962080
188,0.0098335420
189,0.0096262910
190,0.0096031250
191,0.0096363330
192,0.0097433330
193,0.0097958750
194,0.0098435830
195,0.0098467920
196,0.0099280840
197,0.0099431250
198,0.0099809590
199,0.0101097910
200,0.0101391250
